program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
solarize,MVPF,.1623241279008344,,,,,baseline,1,0
solarize,MVPF_no_cc,,,,,,baseline,1,0
solarize,cost,786977.0107761237,,,,24.646885,baseline,1,0
solarize,WTP,127745.3569522398,,,,4.0007839,baseline,1,0
solarize,program_cost,31930.08,,,,,baseline,1,0
solarize,total_cost,,,,,,baseline,1,0
solarize,beh_fisc_ext,,,,,,baseline,1,0
solarize,utility_fisc_ext,,,,,,baseline,1,0
solarize,gas_fisc_ext,,,,,,baseline,1,0
solarize,fed_fisc_ext,,,,,,baseline,1,0
solarize,state_fisc_ext,,,,,,baseline,1,0
solarize,WTP_USPres,-144289.5071226506,,,,,baseline,1,0
solarize,WTP_USFut,36289.52769283531,,,,,baseline,1,0
solarize,WTP_RoW,235745.3363820552,,,,,baseline,1,0
solarize,WTP_USTotal,,,,,,baseline,1,0
solarize,enviro_mvpf,,,,,,baseline,1,0
solarize,cost_mvpf,,,,,,baseline,1,0
solarize,firm_mvpf,,,,,,baseline,1,0
solarize,cost_wtp,,,,,,baseline,1,0
solarize,env_cost_wtp,,,,,,baseline,1,0
solarize,marginal,,,,,,baseline,1,0
solarize,infmarg,,,,,,baseline,1,0
solarize,wtp_private,-185704.6014631281,,,,,baseline,1,0
solarize,wtp_soc,318762.5489076012,,,,,baseline,1,0
solarize,wtp_no_ice,,,,,,baseline,1,0
solarize,wtp_yes_ev,,,,,,baseline,1,0
solarize,wtp_yes_hev,,,,,,baseline,1,0
solarize,wtp_soc_rbd,,,,,,baseline,1,0
solarize,wtp_yes_ev_local,,,,,,baseline,1,0
solarize,wtp_no_ice_local,,,,,,baseline,1,0
solarize,env_cost_wtp_l,,,,,,baseline,1,0
solarize,wtp_soc_rbd_l,,,,,,baseline,1,0
solarize,wtp_yes_ev_g,,,,,,baseline,1,0
solarize,wtp_no_ice_g,,,,,,baseline,1,0
solarize,env_cost_wtp_g,,,,,,baseline,1,0
solarize,wtp_soc_rbd_g,,,,,,baseline,1,0
solarize,wtp_marg,,,,,,baseline,1,0
solarize,wtp_inf,,,,,,baseline,1,0
solarize,wtp_glob,384088.3063909608,,,,,baseline,1,0
solarize,wtp_loc,51502.72931580364,,,,,baseline,1,0
solarize,wtp_r_glob,-75229.8506241365,,,,,baseline,1,0
solarize,wtp_r_loc,-10087.63497532615,,,,,baseline,1,0
solarize,wtp_e_cost,-36823.59169193388,,,,,baseline,1,0
solarize,WTP_cc,,,,,,baseline,1,0
solarize,wtp_install,,,,,,baseline,1,0
solarize,wtp_prod,-243344.4034408298,,,,,baseline,1,0
solarize,wtp_prod_s,,,,,,baseline,1,0
solarize,wtp_prod_u,,,,,,baseline,1,0
solarize,wtp_cons,57639.80197770176,,,,,baseline,1,0
solarize,wtp_deal,,,,,,baseline,1,0
solarize,admin_cost,,,,,,baseline,1,0
solarize,wtp_permits,,,,,,baseline,1,0
solarize,wtp_abatement,,,,,,baseline,1,0
solarize,permitrev,,,,,,baseline,1,0
solarize,wtp_no_leak,,,,,,baseline,1,0
solarize,wtp_leak,,,,,,baseline,1,0
solarize,wtp_soc_g,,,,,,baseline,1,0
solarize,wtp_soc_l,,,,,,baseline,1,0
solarize,fisc_ext_t,133803.907709637,,,,,baseline,1,0
solarize,fisc_ext_s,626555.6135587201,,,,,baseline,1,0
solarize,fisc_ext_lr,-5312.590492233257,,,,,baseline,1,0
solarize,q_CO2,1920.003631999361,,,,,baseline,1,0
solarize,q_CO2_no,,,,,,baseline,1,0
solarize,p_spend,658485.6935587201,,,,,baseline,1,0
solarize,ev_sub_c,,,,,,baseline,1,0
solarize,ev_sub_c_row,,,,,,baseline,1,0
solarize,ev_sub_c_us,,,,,,baseline,1,0
solarize,ev_sub_env,,,,,,baseline,1,0
solarize,ev_sub_cost,,,,,,baseline,1,0
solarize,profits_fisc_e,,,,,,baseline,1,0
solarize,wtp_soc_l_po,,,,,,baseline,1,0
solarize,wtp_soc_l_dr,,,,,,baseline,1,0
solarize,gov_carbon,52.94815224018659,,,,,baseline,1,0
solarize,resource_ce,-37.16420977364788,,,,,baseline,1,0
solarize,q_carbon_mck,68.03629228227207,,,,,baseline,1,0
solarize,semie,,,,,,baseline,1,0
solarize,pass_through,,,,,,baseline,1,0
solarize,permitrev_new,,,,,,baseline,1,0
solarize,permitrev_ex,,,,,,baseline,1,0
solarize,fiscalext,,,,,,baseline,1,0
solarize,firm_cost_wtp,,,,,,baseline,1,0
solarize,c_savings,0,,,,,baseline,1,0
solarize,resource_cost,17121.49279429706,,,,,baseline,1,0
solarize,q_CO2_mck,68.03629228227207,,,,,baseline,1,0
solarize,q_CO2_mck_no,,,,,,baseline,1,0
solarize,wtp_ctr,,,,,,baseline,1,0
solarize,gas_corp_fisc_e,,,,,,baseline,1,0
solarize,epsilon,,,,,,baseline,1,0
solarize,transfer,,,,,,baseline,1,0
solarize,enviro_wtp,,,,,,baseline,1,0
solarize,cost_curve,,,,,,baseline,1,0
solarize,profits,,,,,,baseline,1,0
solarize,subsidies,,,,,,baseline,1,0
solarize,taxes,,,,,,baseline,1,0
solarize,wtp_batt,,,,,,baseline,1,0
solarize,wtp_local_w_r,,,,,,baseline,1,0
solarize,wind_g_wf,,,,,,baseline,1,0
solarize,wind_l_wf,,,,,,baseline,1,0
